attempt_id,run_id,agent,task_id,logical_call_id,attempt,purpose,provider,model,service_tier,price_version,currency,simulated,created_at,updated_at,request_id,outcome,status,input_estimate,max_output,estimated_tokens,estimated_cost,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,observed_cost,reconciled_cost,reserved_tokens,reserved_cost,context_estimates,usage
task-0/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-0,task-0,task-0,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.214770+00:00,2026-09-09T16:06:35.215040+00:00,,completed,observed,48,512,560,0.001072,48,18,0,0,66,0.000084,,0,0,"{""observation"":48}","{""input_tokens"":48,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-1/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-1,task-1,task-1,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.217111+00:00,2026-09-09T16:06:35.217329+00:00,,completed,observed,48,512,560,0.001072,48,18,0,0,66,0.000084,,0,0,"{""observation"":48}","{""input_tokens"":48,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-2/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-2,task-2,task-2,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.219228+00:00,2026-09-09T16:06:35.219433+00:00,,completed,observed,48,512,560,0.001072,48,18,0,0,66,0.000084,,0,0,"{""observation"":48}","{""input_tokens"":48,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-3/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-3,task-3,task-3,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.222312+00:00,2026-09-09T16:06:35.222552+00:00,,completed,observed,48,512,560,0.001072,48,18,0,0,66,0.000084,,0,0,"{""observation"":48}","{""input_tokens"":48,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-4/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-0,task-4,task-4,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.225065+00:00,2026-09-09T16:06:35.225319+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-5/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-1,task-5,task-5,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.227840+00:00,2026-09-09T16:06:35.228047+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-6/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-2,task-6,task-6,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.230645+00:00,2026-09-09T16:06:35.230862+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-7/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-3,task-7,task-7,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.233610+00:00,2026-09-09T16:06:35.233817+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-8/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-0,task-8,task-8,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.236782+00:00,2026-09-09T16:06:35.236985+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-9/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-1,task-9,task-9,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.240362+00:00,2026-09-09T16:06:35.240591+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-10/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-2,task-10,task-10,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.243694+00:00,2026-09-09T16:06:35.243918+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-11/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-3,task-11,task-11,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.247410+00:00,2026-09-09T16:06:35.247622+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-12/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-0,task-12,task-12,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.251236+00:00,2026-09-09T16:06:35.251454+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-13/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-1,task-13,task-13,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.257225+00:00,2026-09-09T16:06:35.257448+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-14/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-2,task-14,task-14,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.261335+00:00,2026-09-09T16:06:35.261563+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-15/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-3,task-15,task-15,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.266034+00:00,2026-09-09T16:06:35.266263+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-16/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-0,task-16,task-16,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.271147+00:00,2026-09-09T16:06:35.271439+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-17/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-1,task-17,task-17,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.276103+00:00,2026-09-09T16:06:35.276527+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-18/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-2,task-18,task-18,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.281584+00:00,2026-09-09T16:06:35.281843+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-19/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-3,task-19,task-19,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.286690+00:00,2026-09-09T16:06:35.286948+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
task-20/attempt-0,0dbbf7d1-a2cc-4518-a9c4-00eb0757ac7a,agent-0,task-20,task-20,0,research,offline-fixture,fixture-v1,default,offline-v1,USD,True,2026-09-09T16:06:35.292492+00:00,2026-09-09T16:06:35.292729+00:00,,completed,observed,52,512,564,0.001076,52,18,0,0,70,0.000088,,0,0,"{""observation"":52}","{""input_tokens"":52,""input_tokens_details"":{""cached_tokens"":0},""output_tokens"":18,""output_tokens_details"":{""reasoning_tokens"":0}}"
