path,run_id,seed,m,agents,condition,lower_bound,upper_bound,gap,stopping_reason,decisions_completed,worker_seconds,verification_seconds,elapsed_seconds,time_to_verified_optimality_seconds,invalid_claims,duplicate_candidates,artifact_reuse,messages,message_bytes,input_tokens,output_tokens,simulated_cost,simulated_coordination_cost,simulated_retry_cost,unknown_attempts,code_revision,actual_model_calls,actual_model_cost
m10-n1-solo-s0,ad331b96-785d-41b0-8706-9e4bfda2a7be,0,10,1,solo,5,5,0,solved,48,0.3447615000186488,0.0003409577766433358,0.35090908291749656,0.350917249917984,0,47,0,0,0,2003,816,0.003635,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-independent-s0,160566a7-043c-4e6d-97ca-5e2acfa931f7,0,10,4,independent,5,5,0,solved,48,0.37422187498304993,0.0004777876893058419,0.37897304096259177,0.37898212496656924,0,44,0,0,0,2440,816,0.004072,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-fixed-s0,19e2eb2e-4508-452a-bf8c-d71b511a45f0,0,10,4,fixed,5,5,0,solved,48,0.4313192090485245,0.0005380820948630571,0.438092292053625,0.4381442090962082,0,45,1,48,11592,5252,3660,0.012572,0.004531,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-adaptive-s0,4a24c475-534e-41e9-a467-f43765ba489f,0,10,4,adaptive,5,5,0,solved,48,0.36060387501493096,0.00043187534902244806,0.3649617920164019,0.3649697919609025,0,45,1,12,2891,3178,1526,0.006230,0.001690,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-independent-s0,baebf85a-647c-4e1a-a47c-532e8ef354fe,0,10,10,independent,5,5,0,solved,48,0.3658555829897523,0.0004546227864921093,0.37002387503162026,0.37003154202830046,0,39,0,0,0,3224,816,0.004856,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-fixed-s0,143337ad-2f11-45d8-9937-94060bd6e1b4,0,10,10,fixed,5,5,0,solved,48,0.4010757500072941,0.00042337202467024326,0.4059722500387579,0.40598108305130154,0,40,1,48,11596,5766,3671,0.013108,0.003396,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-adaptive-s0,3cb2114a-996b-4368-b652-0527b7743e19,0,10,10,adaptive,5,5,0,solved,48,0.39414237497840077,0.00048254046123474836,0.3983917919686064,0.39840016700327396,0,42,4,18,4349,4073,1885,0.007843,0.000934,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n1-solo-s1,9b3a1cc1-4f26-4f19-89ad-6e86b6650238,1,10,1,solo,5,5,0,solved,48,0.3774004590231925,0.0005015418864786625,0.38180662505328655,0.3818147500278428,0,47,0,0,0,2012,816,0.003644,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-independent-s1,e17f2da2-12ed-4a58-a43d-27453db084b1,1,10,4,independent,5,5,0,solved,48,0.3627334999619052,0.00044566707219928503,0.3670822080457583,0.367092416039668,0,43,0,0,0,2436,810,0.004056,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-fixed-s1,c88d4159-afed-4603-bfa8-7b561f37c4a2,1,10,4,fixed,5,5,0,solved,48,0.39080874994397163,0.00045203918125480413,0.3957133749499917,0.39572825003415346,0,45,1,48,11628,5272,3696,0.012664,0.004565,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-adaptive-s1,7bcfb7d9-d41f-43e3-847e-9c1cd697a354,1,10,4,adaptive,5,5,0,solved,48,0.373408249928616,0.0004831698024645448,0.37784524995367974,0.37785758392419666,0,46,2,12,2900,3194,1528,0.006250,0.001695,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-independent-s1,e37fe3e0-b6cb-4cde-8dcd-c6e16a43929f,1,10,10,independent,5,5,0,solved,48,0.3501512500224635,0.0003439143765717745,0.35442291607614607,0.3544289160054177,0,39,0,0,0,3219,810,0.004839,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-fixed-s1,797a81b9-855d-48f3-b704-c7e86ef7c1b0,1,10,10,fixed,5,5,0,solved,48,0.3827686670701951,0.00042983482126146555,0.3877389590488747,0.3877499590162188,0,40,1,48,11608,5765,3685,0.013135,0.003406,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-adaptive-s1,dd2e012c-0e1c-47b1-be2d-a03b6fcb8d41,1,10,10,adaptive,5,5,0,solved,48,0.3699298339197412,0.00034820905420929193,0.3747157499892637,0.3747234999900684,0,42,7,21,5075,4199,2062,0.008323,0.000808,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n1-solo-s2,fbe5f12a-1921-4ed4-85b6-cfbe4ce7b21b,2,10,1,solo,5,5,0,solved,48,0.3511613339651376,0.0003581666387617588,0.35542283405084163,0.3554321669507772,0,47,0,0,0,2012,816,0.003644,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-independent-s2,fb24124b-a4f1-4281-b290-cc2978b632d1,2,10,4,independent,5,5,0,solved,48,0.34460654202848673,0.00033704156521707773,0.34904791705776006,0.3490581250516698,0,42,0,0,0,2440,809,0.004058,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-fixed-s2,09f9d5ab-9224-4df6-a990-57c960d14433,2,10,4,fixed,5,5,0,solved,48,0.37138158397283405,0.0003485482884570956,0.3761574999662116,0.37616650003474206,0,45,2,48,11624,5270,3694,0.012658,0.004564,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n4-adaptive-s2,c2cf239c-66b7-4ce9-ba26-8950d045c335,2,10,4,adaptive,5,5,0,solved,48,0.37106745899654925,0.0004284610040485859,0.37564783403649926,0.37565750000067055,0,46,4,14,3380,3317,1645,0.006607,0.001567,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-independent-s2,f2a638eb-add4-4a38-9370-ce08e0f6a060,2,10,10,independent,5,5,0,solved,48,0.35817937494721264,0.00038804206997156143,0.36254320899024606,0.36255287495441735,0,36,0,0,0,3213,804,0.004821,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-fixed-s2,591aba5e-98c8-436f-8488-f454075e48fd,2,10,10,fixed,5,5,0,solved,48,0.3888397499686107,0.0004275394603610039,0.39396404195576906,0.3939724169904366,0,38,2,48,11597,5759,3684,0.013127,0.003405,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m10-n10-adaptive-s2,717e8887-490d-4748-a0d3-7cb6601f4bb5,2,10,10,adaptive,5,5,0,solved,48,0.38744550000410527,0.00046604464296251535,0.3925224170088768,0.3925304999575019,0,40,5,19,4596,4262,1943,0.008148,0.000744,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n1-solo-s0,25c6b302-6ad2-4138-bd7b-24b2998d105a,0,12,1,solo,6,6,0,solved,48,0.37598266708664596,0.0005329158157110214,0.3802544589852914,0.38026520900893956,0,47,0,0,0,2059,864,0.003787,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n4-independent-s0,ce1c3fa9-03b2-4214-94c4-f7c4cf6e6e58,0,12,4,independent,6,6,0,solved,48,0.3587369170272723,0.00044421025086194277,0.3630665420787409,0.3630773749900982,0,44,0,0,0,2488,864,0.004216,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n4-fixed-s0,089d0b61-672c-4d6a-a8b9-cd45cb440453,0,12,4,fixed,6,6,0,solved,48,0.42095920897554606,0.00046237395144999027,0.42576695897150785,0.42577525007072836,0,45,1,48,11820,5361,3792,0.012945,0.004657,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n4-adaptive-s0,7e09a868-9eee-4244-8fe4-00ed549b2cfb,0,12,4,adaptive,6,6,0,solved,48,0.36017779202666134,0.00040974828880280256,0.36459158395882696,0.36459816701244563,0,46,2,12,2948,3251,1588,0.006427,0.001676,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n10-independent-s0,8afbbf4b-94c8-4862-a9e9-98780bc6cabc,0,12,10,independent,6,6,0,solved,48,0.3568931670160964,0.0004066667752340436,0.36147683404851705,0.3614904589485377,0,36,0,0,0,3257,859,0.004975,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n10-fixed-s0,91c6e80b-00fd-4ed2-885c-b9faedceeb97,0,12,10,fixed,6,6,0,solved,48,0.3755993329687044,0.0003620404750108719,0.3804849579464644,0.3804938329849392,0,36,1,48,11793,5840,3782,0.013404,0.003466,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n10-adaptive-s0,dd514d07-ed85-4e47-8bdc-bd5580ae2417,0,12,10,adaptive,6,6,0,solved,48,0.35711495799478143,0.00037004228215664625,0.3617804159875959,0.36179054097738117,0,42,3,18,4430,3934,1954,0.007842,0.000892,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n1-solo-s1,a9498467-6316-4d7e-8627-d81bba946108,1,12,1,solo,6,6,0,solved,48,0.347247458063066,0.0003539214376360178,0.35150908306241035,0.35151616600342095,0,46,0,0,0,2056,861,0.003778,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n4-independent-s1,e9f7cabf-3b2d-4940-8607-597c41acc885,1,12,4,independent,6,6,0,solved,48,0.34392937493976206,0.00035833404399454594,0.3481571249430999,0.34816375002264977,0,42,0,0,0,2483,858,0.004199,0,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n4-fixed-s1,4b55f5e3-bb5a-48f8-a7a5-16e9f77a36b4,1,12,4,fixed,6,6,0,solved,48,0.37180304201319814,0.000333082745783031,0.3765474590472877,0.3765541249886155,0,45,3,48,11808,5354,3784,0.012922,0.004650,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
m12-n4-adaptive-s1,58b44209-7a86-426e-a1bf-08a5480a1f42,1,12,4,adaptive,6,6,0,solved,48,0.35468333296012133,0.00035037961788475513,0.35899320791941136,0.3590018330141902,0,45,4,15,3677,3435,1761,0.006957,0.001858,0,0,aecaa7b207a094941f977931593e9db6fb46df5f,0,0
