attempt_id,run_id,agent,task_id,logical_call_id,attempt,purpose,provider,model,service_tier,price_version,currency,simulated,created_at,updated_at,request_id,outcome,status,input_estimate,max_output,estimated_tokens,estimated_cost,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,total_tokens,observed_cost,reconciled_cost,reserved_tokens,reserved_cost,context_estimates,usage
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-0/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-0,task-0,task-0,0,coordination,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:06:32.176593+00:00,2026-09-09T23:06:37.470140+00:00,req_d424f022093b485191956d8379e351a3,completed,observed,3086,25000,28086,0.307715,368,339,0,0,243,707,0.004804,,0,0,"{""observation"":3086}","{""input_tokens"":368,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":339,""output_tokens_details"":{""reasoning_tokens"":243},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":707}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-1/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-1,task-1,task-1,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:06:37.479104+00:00,2026-09-09T23:07:26.560074+00:00,req_dbd7219c875642d89750b155e2d962c9,completed,observed,3328,25000,28328,0.30832,449,3378,0,0,3212,3827,0.041434,,0,0,"{""observation"":3328}","{""input_tokens"":449,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":3378,""output_tokens_details"":{""reasoning_tokens"":3212},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":3827}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-2/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-2,task-2,task-2,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:07:26.564637+00:00,2026-09-09T23:07:43.312829+00:00,req_964f286593474631aac174f294a37d10,completed,observed,3083,25000,28083,0.3077075,368,1061,0,0,949,1429,0.013468,,0,0,"{""observation"":3083}","{""input_tokens"":368,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1061,""output_tokens_details"":{""reasoning_tokens"":949},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1429}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-3/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-3,task-3,task-3,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:07:43.316619+00:00,2026-09-09T23:07:54.249433+00:00,req_00a025d4347f4c788e1b5c810cb0b485,completed,observed,3083,25000,28083,0.3077075,368,744,0,0,631,1112,0.009664,,0,0,"{""observation"":3083}","{""input_tokens"":368,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":744,""output_tokens_details"":{""reasoning_tokens"":631},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1112}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-4/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-0,task-4,task-4,0,coordination,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:07:54.254841+00:00,2026-09-09T23:08:02.178192+00:00,req_cc88a7c9e1894da6aa7ef228dc7bae88,completed,observed,4201,25000,29201,0.3105025,736,348,0,0,305,1084,0.005648,,0,0,"{""observation"":4201}","{""input_tokens"":736,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":348,""output_tokens_details"":{""reasoning_tokens"":305},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1084}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-5/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-1,task-5,task-5,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:08:02.183984+00:00,2026-09-09T23:08:31.210700+00:00,req_8defe5a7da1f4d4f80aa3bad61623966,completed,observed,3109,25000,28109,0.3077725,391,2074,0,0,1972,2465,0.02567,,0,0,"{""observation"":3109}","{""input_tokens"":391,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":2074,""output_tokens_details"":{""reasoning_tokens"":1972},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":2465}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-6/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-2,task-6,task-6,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:08:31.216744+00:00,2026-09-09T23:09:35.163894+00:00,req_9911877d467147cb9809b373f5351d1f,completed,observed,3109,25000,28109,0.3077725,391,4397,0,0,4295,4788,0.053546,,0,0,"{""observation"":3109}","{""input_tokens"":391,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":4397,""output_tokens_details"":{""reasoning_tokens"":4295},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":4788}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-7/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-3,task-7,task-7,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:09:35.169788+00:00,2026-09-09T23:09:52.280389+00:00,req_827a743ff51d43089c0eefbc1ee54341,completed,observed,3109,25000,28109,0.3077725,391,1094,0,0,967,1485,0.01391,,0,0,"{""observation"":3109}","{""input_tokens"":391,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1094,""output_tokens_details"":{""reasoning_tokens"":967},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1485}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-8/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-0,task-8,task-8,0,coordination,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:09:52.293052+00:00,2026-09-09T23:09:58.785469+00:00,req_c078fb9bb3a44babb1db21f7a6fa8b63,completed,observed,3990,25000,28990,0.309975,677,426,0,0,385,1103,0.006466,,0,0,"{""observation"":3990}","{""input_tokens"":677,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":426,""output_tokens_details"":{""reasoning_tokens"":385},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1103}"
ef3fa818-65f3-4df1-a05c-c3e3e4785c7e/task-9/attempt-0,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,agent-1,task-9,task-9,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:09:58.790165+00:00,2026-09-09T23:10:31.659401+00:00,req_3bba18f1b405464a9e6fe174b58b488b,invalid_action,observed,3112,25000,28112,0.30778,394,2202,0,0,2015,2596,0.027212,,0,0,"{""observation"":3112}","{""input_tokens"":394,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":2202,""output_tokens_details"":{""reasoning_tokens"":2015},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":2596}"
