attempt_id,run_id,agent,task_id,logical_call_id,attempt,purpose,provider,model,service_tier,price_version,currency,simulated,created_at,updated_at,request_id,outcome,status,input_estimate,max_output,estimated_tokens,estimated_cost,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,total_tokens,observed_cost,reconciled_cost,reserved_tokens,reserved_cost,context_estimates,usage
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-0/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-0,task-0,task-0,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:01:45.751489+00:00,2026-09-09T23:02:21.001856+00:00,req_085e1d0caf97462fa20a49f3609586a6,completed,observed,3089,25000,28089,0.3077225,369,1984,0,0,1944,2353,0.024546,,0,0,"{""observation"":3089}","{""input_tokens"":369,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1984,""output_tokens_details"":{""reasoning_tokens"":1944},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":2353}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-1/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-1,task-1,task-1,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:02:21.005318+00:00,2026-09-09T23:02:35.646359+00:00,req_f67f0cb17a11416fafb6235e80bcc1bc,completed,observed,3089,25000,28089,0.3077225,369,932,0,0,894,1301,0.011922,,0,0,"{""observation"":3089}","{""input_tokens"":369,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":932,""output_tokens_details"":{""reasoning_tokens"":894},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1301}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-2/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-2,task-2,task-2,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:02:35.649884+00:00,2026-09-09T23:02:55.952805+00:00,req_a205885bd52840168e6ac56dcf9c58e0,completed,observed,3089,25000,28089,0.3077225,369,1367,0,0,1329,1736,0.017142,,0,0,"{""observation"":3089}","{""input_tokens"":369,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1367,""output_tokens_details"":{""reasoning_tokens"":1329},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1736}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-3/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-3,task-3,task-3,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:02:55.955893+00:00,2026-09-09T23:03:38.421389+00:00,req_de0abf0df0a64005b3a326c2e755865b,completed,observed,3089,25000,28089,0.3077225,369,2805,0,0,2767,3174,0.034398,,0,0,"{""observation"":3089}","{""input_tokens"":369,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":2805,""output_tokens_details"":{""reasoning_tokens"":2767},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":3174}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-4/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-0,task-4,task-4,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:03:38.425026+00:00,2026-09-09T23:03:58.577859+00:00,req_3cad710d2d884e51b00d884496b2ec8a,completed,observed,3118,25000,28118,0.307795,395,1119,0,0,1079,1514,0.014218,,0,0,"{""observation"":3118}","{""input_tokens"":395,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1119,""output_tokens_details"":{""reasoning_tokens"":1079},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1514}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-5/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-1,task-5,task-5,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:03:58.581798+00:00,2026-09-09T23:04:25.744746+00:00,req_dd14056f98b541129853a11d9112d3f8,completed,observed,3115,25000,28115,0.3077875,392,1787,0,0,1749,2179,0.022228,,0,0,"{""observation"":3115}","{""input_tokens"":392,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1787,""output_tokens_details"":{""reasoning_tokens"":1749},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":2179}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-6/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-2,task-6,task-6,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:04:25.753954+00:00,2026-09-09T23:04:45.645385+00:00,req_d56b6c3108b4491d84b999bac19e228c,completed,observed,3115,25000,28115,0.3077875,392,1128,0,0,1090,1520,0.01432,,0,0,"{""observation"":3115}","{""input_tokens"":392,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1128,""output_tokens_details"":{""reasoning_tokens"":1090},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1520}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-7/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-3,task-7,task-7,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:04:45.654218+00:00,2026-09-09T23:04:55.753117+00:00,req_0a5666f7f7e44877b214856dd39b4111,completed,observed,3115,25000,28115,0.3077875,392,661,0,0,623,1053,0.008716,,0,0,"{""observation"":3115}","{""input_tokens"":392,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":661,""output_tokens_details"":{""reasoning_tokens"":623},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1053}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-8/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-0,task-8,task-8,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:04:55.761681+00:00,2026-09-09T23:05:02.338191+00:00,req_f1fc530c50dd4a2f99c804a816427925,completed,observed,3118,25000,28118,0.307795,395,367,0,0,327,762,0.005194,,0,0,"{""observation"":3118}","{""input_tokens"":395,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":367,""output_tokens_details"":{""reasoning_tokens"":327},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":762}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-9/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-1,task-9,task-9,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:05:02.344580+00:00,2026-09-09T23:06:06.923472+00:00,req_f6e5a9129173485faf9849a9f70593be,completed,observed,3115,25000,28115,0.3077875,392,4052,0,0,3954,4444,0.049408,,0,0,"{""observation"":3115}","{""input_tokens"":392,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":4052,""output_tokens_details"":{""reasoning_tokens"":3954},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":4444}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-10/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-2,task-10,task-10,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:06:06.928172+00:00,2026-09-09T23:06:17.546186+00:00,req_76c8eaeeee1c471a80cbb6196ae2abc9,completed,observed,3116,25000,28116,0.30779,392,672,0,0,634,1064,0.008848,,0,0,"{""observation"":3116}","{""input_tokens"":392,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":672,""output_tokens_details"":{""reasoning_tokens"":634},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1064}"
a354a867-8fcc-44fe-a8d5-acf7af13912d/task-11/attempt-0,a354a867-8fcc-44fe-a8d5-acf7af13912d,agent-3,task-11,task-11,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:06:17.557147+00:00,2026-09-09T23:06:32.075260+00:00,req_b2168409fe204869ba85d477dea45276,completed,observed,3116,25000,28116,0.30779,392,850,0,0,812,1242,0.010984,,0,0,"{""observation"":3116}","{""input_tokens"":392,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":850,""output_tokens_details"":{""reasoning_tokens"":812},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1242}"
