attempt_id,run_id,agent,task_id,logical_call_id,attempt,purpose,provider,model,service_tier,price_version,currency,simulated,created_at,updated_at,request_id,outcome,status,input_estimate,max_output,estimated_tokens,estimated_cost,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,total_tokens,observed_cost,reconciled_cost,reserved_tokens,reserved_cost,context_estimates,usage
0be50332-f294-4978-b244-1d0046b5fbc9/task-0/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-0,task-0,task-0,0,coordination,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:16:25.091117+00:00,2026-09-09T23:16:31.499900+00:00,req_d3290de96f2b4a0ab16bff37c76adc87,completed,observed,3089,25000,28089,0.3077225,368,424,0,0,338,792,0.005824,,0,0,"{""observation"":3089}","{""input_tokens"":368,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":424,""output_tokens_details"":{""reasoning_tokens"":338},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":792}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-1/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-1,task-1,task-1,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:16:31.512368+00:00,2026-09-09T23:16:54.267388+00:00,req_6af33e7fa06e4d0591a01e0c68e3e14c,completed,observed,3311,25000,28311,0.3082775,432,1542,0,0,1414,1974,0.019368,,0,0,"{""observation"":3311}","{""input_tokens"":432,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1542,""output_tokens_details"":{""reasoning_tokens"":1414},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1974}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-2/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-2,task-2,task-2,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:16:54.280092+00:00,2026-09-09T23:17:02.616438+00:00,req_a5925de48f1d4a04a27254ee9e6ac5f6,completed,observed,3086,25000,28086,0.307715,368,539,0,0,448,907,0.007204,,0,0,"{""observation"":3086}","{""input_tokens"":368,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":539,""output_tokens_details"":{""reasoning_tokens"":448},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":907}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-3/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-3,task-3,task-3,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:17:02.628845+00:00,2026-09-09T23:17:10.573299+00:00,req_b4e6c07591cc4cdd89635ea3b5b42615,completed,observed,3086,25000,28086,0.307715,368,447,0,0,325,815,0.0061,,0,0,"{""observation"":3086}","{""input_tokens"":368,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":447,""output_tokens_details"":{""reasoning_tokens"":325},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":815}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-4/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-0,task-4,task-4,0,coordination,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:17:10.586139+00:00,2026-09-09T23:17:16.878313+00:00,req_b142ef95b666431586caa95feb451a77,completed,observed,3896,25000,28896,0.30974,686,376,0,0,282,1062,0.005884,,0,0,"{""observation"":3896}","{""input_tokens"":686,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":376,""output_tokens_details"":{""reasoning_tokens"":282},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1062}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-5/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-1,task-5,task-5,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:17:16.890926+00:00,2026-09-09T23:17:57.501304+00:00,req_26d7449809d046f0885090aa7d30fd35,completed,observed,3367,25000,28367,0.3084175,458,2752,0,0,2638,3210,0.03394,,0,0,"{""observation"":3367}","{""input_tokens"":458,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":2752,""output_tokens_details"":{""reasoning_tokens"":2638},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":3210}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-6/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-2,task-6,task-6,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:17:57.515599+00:00,2026-09-09T23:18:03.252379+00:00,req_a6c143cf7cac4adda0511ef0af91ff88,completed,observed,3112,25000,28112,0.30778,391,384,0,0,278,775,0.00539,,0,0,"{""observation"":3112}","{""input_tokens"":391,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":384,""output_tokens_details"":{""reasoning_tokens"":278},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":775}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-7/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-3,task-7,task-7,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:18:03.266373+00:00,2026-09-09T23:18:11.312865+00:00,req_6aba405b65584ebcbda28efe07cd57da,completed,observed,3112,25000,28112,0.30778,391,589,0,0,485,980,0.00785,,0,0,"{""observation"":3112}","{""input_tokens"":391,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":589,""output_tokens_details"":{""reasoning_tokens"":485},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":980}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-8/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-0,task-8,task-8,0,coordination,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:18:11.327729+00:00,2026-09-09T23:18:14.743884+00:00,req_dc193e91d066431284cbca085c771b08,completed,observed,3938,25000,28938,0.309845,671,172,0,0,129,843,0.003406,,0,0,"{""observation"":3938}","{""input_tokens"":671,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":172,""output_tokens_details"":{""reasoning_tokens"":129},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":843}"
0be50332-f294-4978-b244-1d0046b5fbc9/task-9/attempt-0,0be50332-f294-4978-b244-1d0046b5fbc9,agent-1,task-9,task-9,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:18:14.758773+00:00,2026-09-09T23:18:27.374730+00:00,req_d157ec35be4d4869b8a9407a2c0bfcd5,completed,observed,3112,25000,28112,0.30778,391,883,0,0,777,1274,0.011378,,0,0,"{""observation"":3112}","{""input_tokens"":391,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":883,""output_tokens_details"":{""reasoning_tokens"":777},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1274}"
