attempt_id,run_id,agent,task_id,logical_call_id,attempt,purpose,provider,model,service_tier,price_version,currency,simulated,created_at,updated_at,request_id,outcome,status,input_estimate,max_output,estimated_tokens,estimated_cost,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,total_tokens,observed_cost,reconciled_cost,reserved_tokens,reserved_cost,context_estimates,usage
1338ab4b-a025-464e-94b2-c59a69527188/task-0/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-0,task-0,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:28:32.723276+00:00,2026-09-09T23:29:16.007060+00:00,req_a9b0f8b87a3e4861a7e082342af89ab8,completed,observed,3045,25000,28045,0.3076125,354,2896,0,0,2856,3250,0.03546,,0,0,"{""observation"":3045}","{""input_tokens"":354,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":2896,""output_tokens_details"":{""reasoning_tokens"":2856},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":3250}"
1338ab4b-a025-464e-94b2-c59a69527188/task-1/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-1,task-1,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:29:16.020461+00:00,2026-09-09T23:29:36.118700+00:00,req_03892a681c9548678ced4f595dfdfa0c,completed,observed,3075,25000,28075,0.3076875,380,1252,0,0,1212,1632,0.015784,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1252,""output_tokens_details"":{""reasoning_tokens"":1212},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1632}"
1338ab4b-a025-464e-94b2-c59a69527188/task-2/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-2,task-2,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:29:36.124100+00:00,2026-09-09T23:29:58.905025+00:00,req_4a90ae3e4f8b4ebb84f2aafb7df65a35,completed,observed,3075,25000,28075,0.3076875,380,1404,0,0,1364,1784,0.017608,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1404,""output_tokens_details"":{""reasoning_tokens"":1364},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1784}"
1338ab4b-a025-464e-94b2-c59a69527188/task-3/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-3,task-3,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:29:58.915906+00:00,2026-09-09T23:30:15.800630+00:00,req_d27008d61b3a441aaf78d615690834b5,completed,observed,3075,25000,28075,0.3076875,380,1132,0,0,1092,1512,0.014344,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1132,""output_tokens_details"":{""reasoning_tokens"":1092},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1512}"
1338ab4b-a025-464e-94b2-c59a69527188/task-4/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-4,task-4,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:30:15.813697+00:00,2026-09-09T23:30:40.196433+00:00,req_52b07a4748a144afb2d6b6062d80cbaa,completed,observed,3075,25000,28075,0.3076875,380,1562,0,0,1522,1942,0.019504,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1562,""output_tokens_details"":{""reasoning_tokens"":1522},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1942}"
1338ab4b-a025-464e-94b2-c59a69527188/task-5/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-5,task-5,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:30:40.207604+00:00,2026-09-09T23:30:56.630413+00:00,req_6cd970764d63493a8797f99a53c0bcbd,completed,observed,3075,25000,28075,0.3076875,380,986,0,0,946,1366,0.012592,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":986,""output_tokens_details"":{""reasoning_tokens"":946},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1366}"
1338ab4b-a025-464e-94b2-c59a69527188/task-6/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-6,task-6,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:30:56.643139+00:00,2026-09-09T23:31:38.553280+00:00,req_c7af8aa744cb4208b8a3d9566fce9138,completed,observed,3075,25000,28075,0.3076875,380,2689,0,0,2649,3069,0.033028,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":2689,""output_tokens_details"":{""reasoning_tokens"":2649},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":3069}"
1338ab4b-a025-464e-94b2-c59a69527188/task-7/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-7,task-7,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:31:38.567070+00:00,2026-09-09T23:31:46.251384+00:00,req_aa1ae16e544c4d239e59646cf03e9483,completed,observed,3075,25000,28075,0.3076875,380,472,0,0,432,852,0.006424,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":472,""output_tokens_details"":{""reasoning_tokens"":432},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":852}"
1338ab4b-a025-464e-94b2-c59a69527188/task-8/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-8,task-8,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:31:46.266027+00:00,2026-09-09T23:32:03.552878+00:00,req_f30e266e4b354375ab719e39145699a3,completed,observed,3075,25000,28075,0.3076875,380,1053,0,0,1013,1433,0.013396,,0,0,"{""observation"":3075}","{""input_tokens"":380,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1053,""output_tokens_details"":{""reasoning_tokens"":1013},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1433}"
1338ab4b-a025-464e-94b2-c59a69527188/task-9/attempt-0,1338ab4b-a025-464e-94b2-c59a69527188,agent-0,task-9,task-9,0,research,openai,gpt-5.6-terra,default,openai-terra-standard-short-2026-09-09,USD,False,2026-09-09T23:32:03.566995+00:00,2026-09-09T23:42:48.127610+00:00,,transport_unknown,estimated,3075,25000,28075,0.3076875,,,,,,,,,28075,0.3076875,"{""observation"":3075}",
