order,repetition,seed,condition,path,run_id,status,started,attempted,attempts,stopping_reason,lower_bound,upper_bound,gap,solved,decisions_completed,invalid_claims,duplicate_candidates,artifact_reuse,messages,message_bytes,worker_seconds,verification_seconds,time_to_optimal_candidate_seconds,time_to_verified_optimality_seconds,oracle_seconds,oracle_status,best_candidate,known_tokens,known_calculated_cost_usd,tokens_complete,cost_complete,total_tokens,calculated_cost_usd,reconciled_cost_usd,billing_status,unknown_attempts,unknown_cost_attempts,pending_attempts,reserved_tokens,reserved_cost,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,coordinator_attempts,coordinator_known_tokens,coordinator_known_calculated_cost_usd,coordinator_cost_complete,per_agent_attempts,per_agent_completed_decisions,message_delivered_count,message_rejected_count,message_read_count,artifact_used_count
1,1,0,independent,r01-independent,a354a867-8fcc-44fe-a8d5-acf7af13912d,completed,True,True,12,step_limit,9,10,1,False,12,0,9,0,0,0,286.36518291698303,0.00017158302944153547,,,0.00619674997869879,optimal,"[1, 2, 4, 8, 9, 18, 19, 21, 22]",22342,0.221924,True,True,22342,0.221924,0,not_reconciled,0,0,0,0,0,4618,17724,0,0,17202,0,0,0,True,"{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}","{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}",0,1,0,0
2,1,0,fixed,r01-fixed,ef3fa818-65f3-4df1-a05c-c3e3e4785c7e,failed,True,True,10,provider_failure,9,10,1,False,9,0,7,5,7,1995,239.5429056660505,0.00018162489868700504,,,0.006868249969556928,optimal,"[1, 2, 4, 8, 9, 11, 19, 22, 23]",20596,0.201822,True,True,20596,0.201822,0,not_reconciled,0,0,0,0,0,4533,16063,0,0,14974,3,2894,0.016918,True,"{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 2, ""agent-3"": 2}","{""agent-0"": 3, ""agent-1"": 2, ""agent-2"": 2, ""agent-3"": 2}",7,0,7,5
3,1,0,adaptive,r01-adaptive,4e850f58-7570-4414-8372-9778ef4f9334,failed,True,True,6,invalid_candidate,8,10,2,False,6,2,4,5,5,1199,180.04864487494342,0.00015683320816606283,,,0.006832499988377094,optimal,"[1, 2, 4, 5, 10, 11, 13, 14]",14725,0.149910,True,True,14725,0.149910,0,not_reconciled,0,0,0,0,0,2679,12046,0,0,11406,2,1965,0.013290,True,"{""agent-0"": 2, ""agent-1"": 2, ""agent-2"": 1, ""agent-3"": 1}","{""agent-0"": 2, ""agent-1"": 2, ""agent-2"": 1, ""agent-3"": 1}",5,0,5,5
4,1,0,solo,r01-solo,e5f08ab3-4877-4b1b-b45a-7677c68fe7ec,failed,True,True,3,invalid_candidate,9,10,1,False,3,1,1,0,0,0,58.205160624929704,7.07089202478528e-05,,,0.008397750090807676,optimal,"[1, 2, 4, 8, 9, 11, 19, 22, 23]",4980,0.048620,True,True,4980,0.048620,0,not_reconciled,0,0,0,0,0,1114,3866,0,0,3744,0,0,0,True,"{""agent-0"": 3}","{""agent-0"": 3}",0,0,0,0
5,2,1,fixed,r02-fixed,227bb4c3-c568-48e6-a136-6ae0a31c279d,failed,True,True,6,invalid_candidate,9,10,1,False,6,2,3,2,4,1097,114.86405350000132,0.0001617900561541319,,,0.004888917086645961,optimal,"[1, 2, 4, 8, 9, 11, 19, 22, 23]",10372,0.098144,True,True,10372,0.098144,0,not_reconciled,0,0,0,0,0,2632,7740,0,0,7115,2,1663,0.009216,True,"{""agent-0"": 2, ""agent-1"": 2, ""agent-2"": 1, ""agent-3"": 1}","{""agent-0"": 2, ""agent-1"": 2, ""agent-2"": 1, ""agent-3"": 1}",4,0,4,2
6,2,1,adaptive,r02-adaptive,0be50332-f294-4978-b244-1d0046b5fbc9,completed,True,True,12,step_limit,9,10,1,False,12,0,10,8,11,2565,176.86259929090738,0.0003853760426864028,,,0.0087617909302935,optimal,"[1, 2, 4, 8, 9, 18, 19, 21, 22]",16803,0.148576,True,True,16803,0.148576,0,not_reconciled,0,0,0,0,0,5306,11497,0,0,10282,3,2697,0.015114,True,"{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}","{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}",11,0,8,8
7,2,1,independent,r02-independent,a93f0c3b-86f5-46ca-b7f0-5c45ac528d73,completed,True,True,12,step_limit,8,10,2,False,12,0,11,0,0,0,148.97681541601196,0.00033383502159267664,,,0.009256749995984137,optimal,"[1, 2, 4, 5, 10, 11, 13, 14]",14409,0.126788,True,True,14409,0.126788,0,not_reconciled,0,0,0,0,0,4612,9797,0,0,9341,0,0,0,True,"{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}","{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}",0,0,0,0
8,2,1,solo,r02-solo,d2c328e9-5dd7-46e2-84dc-f32a23c1314d,completed,True,True,12,step_limit,8,10,2,False,12,0,11,0,0,0,199.9240948749939,0.00030624924693256617,,,0.009214874939061701,optimal,"[1, 2, 4, 5, 10, 11, 13, 14]",17886,0.169622,True,True,17886,0.169622,0,not_reconciled,0,0,0,0,0,4501,13385,0,0,12929,0,0,0,True,"{""agent-0"": 12}","{""agent-0"": 12}",0,0,0,0
9,3,2,independent,r03-independent,92b8a577-d3bb-4bae-adcd-33eccb77294a,completed,True,True,12,step_limit,9,10,1,False,12,0,10,0,0,0,201.46284641698003,0.0003500406164675951,,,0.009525832952931523,optimal,"[1, 4, 5, 10, 11, 13, 20, 23, 24]",17686,0.166112,True,True,17686,0.166112,0,not_reconciled,0,0,0,0,0,4612,13074,0,0,12616,0,0,0,True,"{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}","{""agent-0"": 3, ""agent-1"": 3, ""agent-2"": 3, ""agent-3"": 3}",0,0,0,0
10,3,2,solo,r03-solo,1338ab4b-a025-464e-94b2-c59a69527188,interrupted,True,True,10,unresolved_usage,9,10,1,False,9,0,8,0,0,0,320.94300841598306,0.0002639169106259942,,,0.008537207962945104,optimal,"[1, 2, 4, 5, 10, 20, 21, 23, 24]",16840,0.168140,False,False,,,0,not_reconciled,1,1,0,28075,0.3076875,3394,13446,0,0,13086,0,0,0,True,"{""agent-0"": 10}","{""agent-0"": 9}",0,0,0,0
