attempt_id,run_id,agent,task_id,logical_call_id,attempt,purpose,provider,model,service_tier,price_version,currency,simulated,created_at,updated_at,request_id,outcome,status,input_estimate,max_output,estimated_tokens,estimated_cost,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,total_tokens,observed_cost,reconciled_cost,reserved_tokens,reserved_cost,context_estimates,usage
487017e3-f924-431a-a184-732a7a26c6f9/task-0/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-0,task-0,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:45:31.753812+00:00,2026-09-10T03:45:47.597276+00:00,req_b5665858c1314fad8de09f9dec9660a0,completed,observed,3070,25000,28070,0.307675,359,918,0,0,880,1277,0.011734,,0,0,"{""observation"":3070}","{""input_tokens"":359,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":918,""output_tokens_details"":{""reasoning_tokens"":880},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1277}"
487017e3-f924-431a-a184-732a7a26c6f9/task-1/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-1,task-1,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:45:47.602409+00:00,2026-09-10T03:45:55.765324+00:00,req_aca7ab014ca74e829807b29e7d75cfc8,completed,observed,3256,25000,28256,0.30814,441,496,0,0,458,937,0.006834,,0,0,"{""observation"":3256}","{""input_tokens"":441,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":496,""output_tokens_details"":{""reasoning_tokens"":458},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":937}"
487017e3-f924-431a-a184-732a7a26c6f9/task-2/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-2,task-2,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:45:55.774920+00:00,2026-09-10T03:46:05.578606+00:00,req_46316e602a684c4aaceb190b28b755cf,completed,observed,3419,25000,28419,0.3085475,501,647,0,0,609,1148,0.008766,,0,0,"{""observation"":3419}","{""input_tokens"":501,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":647,""output_tokens_details"":{""reasoning_tokens"":609},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1148}"
487017e3-f924-431a-a184-732a7a26c6f9/task-3/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-3,task-3,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:46:05.582342+00:00,2026-09-10T03:46:15.954018+00:00,req_943069b1f7cd4de484c609a63ad7b09f,completed,observed,3582,25000,28582,0.308955,561,676,0,0,638,1237,0.009234,,0,0,"{""observation"":3582}","{""input_tokens"":561,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":676,""output_tokens_details"":{""reasoning_tokens"":638},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1237}"
487017e3-f924-431a-a184-732a7a26c6f9/task-4/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-4,task-4,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:46:15.962277+00:00,2026-09-10T03:46:29.066747+00:00,req_5a8c4d9786374813ad4f8432a7332b0d,completed,observed,3745,25000,28745,0.3093625,621,957,0,0,919,1578,0.012726,,0,0,"{""observation"":3745}","{""input_tokens"":621,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":957,""output_tokens_details"":{""reasoning_tokens"":919},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1578}"
487017e3-f924-431a-a184-732a7a26c6f9/task-5/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-5,task-5,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:46:29.075322+00:00,2026-09-10T03:46:40.316447+00:00,req_52826a847637479f9118b4b68275ce3c,completed,observed,3908,25000,28908,0.30977,681,745,0,0,707,1426,0.010302,,0,0,"{""observation"":3908}","{""input_tokens"":681,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":745,""output_tokens_details"":{""reasoning_tokens"":707},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1426}"
487017e3-f924-431a-a184-732a7a26c6f9/task-6/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-6,task-6,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:46:40.325159+00:00,2026-09-10T03:47:02.074905+00:00,req_2bf247594ad944c892873274adeb054c,completed,observed,4071,25000,29071,0.3101775,741,1519,0,0,1481,2260,0.01971,,0,0,"{""observation"":4071}","{""input_tokens"":741,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1519,""output_tokens_details"":{""reasoning_tokens"":1481},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":2260}"
487017e3-f924-431a-a184-732a7a26c6f9/task-7/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-7,task-7,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:47:02.082460+00:00,2026-09-10T03:47:17.315440+00:00,req_f4b595e2605d44bcaf06d05f6c59b247,completed,observed,4234,25000,29234,0.310585,801,1039,0,0,1001,1840,0.01407,,0,0,"{""observation"":4234}","{""input_tokens"":801,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":1039,""output_tokens_details"":{""reasoning_tokens"":1001},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1840}"
487017e3-f924-431a-a184-732a7a26c6f9/task-8/attempt-0,487017e3-f924-431a-a184-732a7a26c6f9,agent-0,task-8,task-8,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:47:17.326911+00:00,2026-09-10T03:47:25.797621+00:00,req_e739327b7f154344971821282da94679,completed,observed,4397,25000,29397,0.3109925,861,499,0,0,460,1360,0.00771,,0,0,"{""observation"":4397}","{""input_tokens"":861,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":499,""output_tokens_details"":{""reasoning_tokens"":460},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":1360}"
ef102182-cfe9-436e-9530-ca54778d73b1/task-0/attempt-0,ef102182-cfe9-436e-9530-ca54778d73b1,agent-0,task-0,task-0,0,research,openai,gpt-5.6-terra,default,openai-terra-feedback-v02-standard-short-2026-09-10,USD,False,2026-09-10T03:47:25.891856+00:00,2026-09-10T03:48:10.190910+00:00,req_2eff768fb0724f698bb24f543cfdc7db,completed,observed,3045,25000,28045,0.3076125,354,3123,0,0,3083,3477,0.038184,,0,0,"{""observation"":3045}","{""input_tokens"":354,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":3123,""output_tokens_details"":{""reasoning_tokens"":3083},""reported_model"":""gpt-5.6-terra"",""reported_service_tier"":""default"",""total_tokens"":3477}"
